Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
West Bank and Gaza,PSE,2009,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,20.6695276400199
West Bank and Gaza,PSE,2009,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,31.6776073831523
West Bank and Gaza,PSE,2009,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,18.5033222247896
West Bank and Gaza,PSE,2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,34.6751984403056
West Bank and Gaza,PSE,2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,35.2996659457241
West Bank and Gaza,PSE,2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,21.5880624277882
West Bank and Gaza,PSE,2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,18.2165425084539
West Bank and Gaza,PSE,2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,20.3111215441601
West Bank and Gaza,PSE,2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,35.5104413395536
West Bank and Gaza,PSE,2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,30.5666458222828
West Bank and Gaza,PSE,2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,29.4744832360475
West Bank and Gaza,PSE,2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,13.9489856434814
West Bank and Gaza,PSE,2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,23.4049339023851
West Bank and Gaza,PSE,2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,19.0971110537028
West Bank and Gaza,PSE,2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,17.8331062504824
West Bank and Gaza,PSE,2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,9.42493378446738
West Bank and Gaza,PSE,2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,40.5585707248336
West Bank and Gaza,PSE,2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,23.1895324146566
West Bank and Gaza,PSE,2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,19.1181158734686
West Bank and Gaza,PSE,2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,9.62749182313175
West Bank and Gaza,PSE,2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,28.7690559142352
West Bank and Gaza,PSE,2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,12.7832308746005
